JICHTICD,KOJINNO,DNWNOID,RIREKINO,SHKTURKGYUMNCHJ,KUSNGYUMNCHJ,KUSNSYSTEMNCHJ,KUSNCOMPMI,KUSNUSERID,YUKOFLAG,KSSIJOUTI,KYUJCHTICD,DNWNO,HNSHUDNWNO,KUKISHZKID,DNWNOKBN,USERMI,SHZKMI,GYUMID,BKU_60
244619,0000305399,3,1,20160217000000000,20160217113639572,20160217113639572,M-29906,tantou100,1,0,000000,0598-32-3061,0598323061,0000000000,X,担当１００,ＭＥＣ,Zst,移行（法人）Ｈ240419登録
244619,0007020139,1,1,20190307000000000,20190307000000000,20190307104314537,M-31302,tantou141,1,0,000000,0598-000-000,0598000000,0000000000,1,CatS_5810一括取込,ＭＥＣ,Cat,null
244619,0000244709,3,1,20160217000000000,20160217113639572,20160217113639572,M-29906,tantou100,1,0,000000,0598-32-3061,0598323061,0000000000,X,担当１００,ＭＥＣ,000,移行（法人）Ｈ240419登録
244619,0000320719,1,1,20160225170947554,20160225170947554,20160225170947554,IE11WIN7,54,1,0,000000,46904891,46904891,0000000000,1,担当５４,ＭＥＣ,000,null
244619,0001214349,1,1,20180210201104840,20180222193052758,20180222193052758,M-31303,tantou140,0,0,null,1111111111111111,1111111111111111,0000000000,1,担当１３９,ＭＥＣ,Fne,null
244619,0001214349,2,1,20180210201121413,20180222193049609,20180222193049609,M-31303,tantou140,0,0,null,2222222222222222,2222222222222222,0000000000,1,担当１３９,ＭＥＣ,000,null
244619,0001044419,2,1,20180515163851425,20180515163923651,20180515163923651,M-29906,tantou100,1,0,null,3333333333333333,3333333333333333,0000000000,H,担当１００,ＭＥＣ,000,null
244619,0004002789,1,1,20161026133231677,20161026133231677,20161026133231677,M-31332,tantou37,1,0,000000,11111111112,11111111112,0000000000,2,担当３７,ＭＥＣ,000,あああああああ
244619,0001158759,1,1,20161110144101078,20161110144101078,20161110144101078,M-31332,tantou37,1,0,null,1111111111111111,1111111111111111,0000000000,6,担当３７,ＭＥＣ,000,null
244619,0000093869,2,1,20170629095325305,20170629095325305,20170629095325305,M-29846,tantou42,1,0,000000,23456,23456,0000000000,1,担当４２,ＭＥＣ,000,null
