JICHTICD,KOJINNO,DNWNOID,RIREKINO,SHKTURKGYUMNCHJ,KUSNGYUMNCHJ,KUSNSYSTEMNCHJ,KUSNCOMPMI,KUSNUSERID,YUKOFLAG,KSSIJOUTI,KYUJCHTICD,DNWNO,HNSHUDNWNO,KUKISHZKID,DNWNOKBN,USERMI,SHZKMI,GYUMID,BKU_60
244619,0001187333,6,1,20161018140619612,20161018142111638,20161018142111638,M-31332,tantou37,0,0,null,11111111112,11111111112,0000000000,1,担当３７,ＭＥＣ,000,null
244619,0000042923,3,1,20160217000000000,20160217113639572,20160217113639572,M-29906,tantou100,1,0,000000,0598-32-3061,0598323061,0000000000,X,担当１００,ＭＥＣ,000,移行（法人）Ｈ240419登録
244619,0000113223,2,1,20230206163332087,20230206163332087,20230206163332087,M-50623,tantou56,1,0,000000,0123456789,0123456789,0000000000,1,担当５６,ＭＥＣ,000,null
244619,0001172433,1,1,20150408104744410,20150408104744410,20150408104744410,M-31270,tantou103,1,0,null,06060705318,06060705318,0000000000,1,担当１０３,ＭＥＣ,000,null
244619,0001187333,15,1,20161027125009492,20161027125132344,20161027125132344,M-31332,tantou37,0,0,null,1234567890123456,1234567890123456,0000000000,6,担当３７,ＭＥＣ,000,null
244619,0005110903,1,1,20160405155220488,20160405161612398,20160405161612398,M-31280,tantou145,1,0,000000,0599265587,0599265587,0000000000,1,担当１４５,ＭＥＣ,000,テスト
244619,0001167243,1,1,20171119141734395,20171119141734395,20171119141734395,M-29448,54,1,0,null,4646460,4646460,0000000000,1,担当５４,ＭＥＣ,000,null
244619,0007014473,1,1,20160621192951377,20160621192951377,20160621192951377,M-29448,54,1,0,244449,09033831767,09033831767,0000000000,2,担当５４,ＭＥＣ,Yss,null
244619,0007019963,1,1,20190306000000000,20190306000000000,20190306203925042,M-31302,tantou141,1,0,000000,090-0001-0001,09000010001,0000000000,2,CatS_5800一括取込,ＭＥＣ,Cat,null
244619,0008003483,1,1,20190308000000000,20190308000000000,20190308083514638,M-31302,tantou141,1,0,000000,090-0001-0001,09000010001,0000000000,2,CatS_5800一括取込,ＭＥＣ,Cat,null
244619,0000048343,1,1,20160209145428280,20160209145428280,20160209145428280,M-31208,tantou26,1,0,000000,123-456-789,123456789,0000000000,1,担当２６,ＭＥＣ,Zst,123
244619,0001187333,17,1,20161027170810989,20161027170835450,20161027170835450,M-31332,tantou37,1,0,null,1111111111211111,1111111111211111,0000000000,1,担当３７,ＭＥＣ,000,null
244619,0001116983,1,1,20170630151943942,20170630155213432,20170630155213432,M-29843,tantou142,1,0,null,99999999999,99999999999,0000000000,1,担当１４２,ＭＥＣ,000,null
244619,0001187333,12,1,20161025171902523,20161025172033175,20161025172033175,M-31332,tantou37,0,0,null,11111111112,11111111112,0000000000,2,担当３７,ＭＥＣ,000,null
244619,0007020333,1,1,20190307000000000,20190307000000000,20190307164851627,M-31302,tantou141,1,0,000000,0598-000-000,0598000000,0000000000,1,CatS_5810一括取込,ＭＥＣ,Cat,null
244619,0001106163,1,1,20230512105313512,20230512105321583,20230512105321583,M-50600,tantou36,1,0,null,019900111,019900111,0000000000,1,担当３６,ＭＥＣ,000,null
244619,0001142993,1,1,20160908182515268,20161108150654332,20161108150654332,M-31205,tantou144,0,0,null,11111,11111,0000000000,1,担当１４４,ＭＥＣ,000,null
244619,0001211013,1,1,20180329211155222,20180329211155222,20180329211155222,M-29854,tantou139,1,0,null,1111-1111-1111,111111111111,0000000000,1,担当１３９,ＭＥＣ,000,null
244619,0001211013,2,1,20180329211208901,20180329211208901,20180329211208901,M-29854,tantou139,1,0,null,2222-2222-2222,222222222222,0000000000,1,担当１３９,ＭＥＣ,Fne,null
244619,0001020323,1,1,20211213131907789,20211213131907789,20211213131907789,M-41714,tantou106,1,0,null,059820211213,059820211213,0000000000,3,担当１０６,ＭＥＣ,000,null
244619,0001020323,2,1,20211213131920990,20211213131920990,20211213131920990,M-41714,tantou106,1,0,null,059320211213,059320211213,0000000000,1,担当１０６,ＭＥＣ,000,null
244619,0001187333,4,1,20161018135404485,20161018135439492,20161018135439492,M-31332,tantou37,0,0,null,11111111112,11111111112,0000000000,3,担当３７,ＭＥＣ,000,null
244619,0001177893,2,1,20161221161030298,20161221161030298,20161221161030314,M-31332,tantou37,1,0,null,11111,11111,0000000000,1,担当３７,ＭＥＣ,000,ああｓだｓだｓだだｓだｓｄさ
244619,0001037943,2,1,20160625110742820,20160625110742820,20160625110742820,M-29846,tantou42,1,0,null,12345678,12345678,0000000000,1,担当４２,ＭＥＣ,000,null
244619,0000204553,1,1,20150520145111985,20150520145111985,20150520145111985,M-31205,tantou144,1,0,000000,0598-51-3511,0598513511,0000000000,3,担当１４４,ＭＥＣ,000,null
244619,0001142993,4,1,20170710165506665,20170710165506665,20170710165506665,M-31205,tantou144,1,0,null,999999999,999999999,0000000000,4,担当１４４,ＭＥＣ,000,null
244619,0001187333,18,1,20161109104536775,20161109104557627,20161109104557627,M-31332,tantou37,0,0,null,4444444444444444,4444444444444444,0000000000,3,担当３７,ＭＥＣ,000,null
244619,0070102143,1,1,20090328195258967,20090328195258967,20090328195258967,tousho,demo,1,0,000000,059-****-****,059********,0000000000,A,tousho,null,null,null
244619,0070105133,1,1,20090328195258967,20090328195258967,20090328195258967,tousho,demo,1,0,000000,059-****-****,059********,0000000000,A,tousho,null,null,null
244619,0070109593,1,1,20090729000000000,20090729000000000,20090729000000000,tousho,demo,1,0,000000,03--****-****,03********,0000000000,A,tousho,null,null,null
244619,0070105523,1,1,20090328195258967,20090328195258967,20090328195258967,tousho,demo,1,0,000000,059-****-****,059********,0000000000,A,tousho,null,null,null
244619,0070105573,1,1,20090328195258967,20090328195258967,20090328195258967,tousho,demo,1,0,000000,059-****-****,059********,0000000000,A,tousho,null,null,null
