JICHTICD,KOJINNO,DNWNOID,RIREKINO,SHKTURKGYUMNCHJ,KUSNGYUMNCHJ,KUSNSYSTEMNCHJ,KUSNCOMPMI,KUSNUSERID,YUKOFLAG,KSSIJOUTI,KYUJCHTICD,DNWNO,HNSHUDNWNO,KUKISHZKID,DNWNOKBN,USERMI,SHZKMI,GYUMID,BKU_60
244619,0000000026,1,1,20160205134949961,20180215144212174,20180215144212174,M-31208,tantou26,1,0,000000,0598-51-3511,0598513511,0000000000,3,担当２６,ＭＥＣ,000,test
244619,0000266626,2,1,20180228144618521,20180228144728362,20180228144728362,M-31343,tantou46,0,0,000000,12-3456,123456,0000000000,1,担当４６,ＭＥＣ,000,検証
244619,0001025066,2,1,20150701191918145,20150701191918145,20150701191918145,M-31175,tantou80,1,0,null,22222222222222,22222222222222,0000000000,3,担当８０,ＭＥＣ,000,null
244619,0008003416,1,1,20190306000000000,20190306000000000,20190306204145576,M-31302,tantou141,1,0,000000,0598-000-000,0598000000,0000000000,1,CatS_5810一括取込,ＭＥＣ,Cat,null
244619,0000248876,2,1,20220906170639119,20220906170639119,20220906170639119,M-50599,tantou34,1,0,000000,0598-51-3515,0598513515,9000000000,1,担当３４,ＭＥＣ,Fjf,null
244619,0000248876,3,1,20220906170715961,20220906170715961,20220906170715963,M-50599,tantou34,1,0,000000,0598-51-7061,0598517061,9000000000,2,担当３４,ＭＥＣ,Fjf,null
244619,0000000006,1,1,20180622154442181,20180622154442181,20180622154442181,M-31236,tantou62,1,0,000000,0598-00-0006,0598000006,0000000000,1,担当６２,ＭＥＣ,000,null
244619,0007013256,1,1,20230216083920755,20230216083920755,20230216083920755,M-41780,tantou30,1,0,000000,1111-22-3333,1111223333,0000000000,1,担当３０,ＭＥＣ,000,null
244619,0000248876,4,1,20220907113025334,20220907160045587,20220907160045587,M-50599,tantou34,1,0,000000,080-8891-1122,08088911122,9000000000,1,担当３４,ＭＥＣ,Fjf,null
244619,0007020236,1,1,20190307000000000,20190307000000000,20190307134809202,M-31302,tantou141,1,0,000000,0598-000-000,0598000000,0000000000,1,CatS_5810一括取込,ＭＥＣ,Cat,null
244619,0005804086,1,1,20190415141704784,20190415141704784,20190415141704784,M-41588,54,1,0,000000,2432423,2432423,0000000000,1,担当５４,ＭＥＣ,000,null
244619,0001042076,2,1,20150307124213420,20150307124213420,20150307124213420,M-31213,tantou25,1,0,null,123,123,0000000000,1,担当２５,ＭＥＣ,Yss,null
244619,0007020376,1,1,20190307000000000,20190307000000000,20190307170300320,M-31302,tantou141,1,0,000000,0598-000-000,0598000000,0000000000,1,CatS_5810一括取込,ＭＥＣ,Cat,null
244619,0000000026,2,1,20160209083533240,20160209083859591,20160209083859591,M-31208,tantou26,1,0,000000,-)123456789,123456789,0000000000,1,担当２６,ＭＥＣ,000,369
244619,0000000026,3,1,20160209083603976,20160209084203754,20160209084203754,M-31208,tantou26,1,0,000000,-1)123456789,1123456789,0000000000,1,担当２６,ＭＥＣ,000,456
244619,0000000026,4,1,20160209083626555,20160209083626555,20160209083626555,M-31208,tantou26,1,0,000000,123-456-789,123456789,0000000000,1,担当２６,ＭＥＣ,000,7789
244619,0000000026,5,1,20160209083703025,20160209083703025,20160209083703025,M-31208,tantou26,1,0,000000,123456789(-),123456789,0000000000,1,担当２６,ＭＥＣ,000,147
244619,0000000026,6,1,20160209083731229,20160209083731229,20160209083731229,M-31208,tantou26,1,0,000000,--123456789,123456789,0000000000,1,担当２６,ＭＥＣ,000,258
244619,0000000026,7,1,20160209083918483,20160209083918483,20160209083918483,M-31208,tantou26,1,0,000000,123456789,123456789,0000000000,1,担当２６,ＭＥＣ,000,123
244619,0000000026,8,1,20160209083954515,20160209083954515,20160209083954515,M-31208,tantou26,1,0,000000,(-1)123456789,1123456789,0000000000,1,担当２６,ＭＥＣ,000,987
244619,0000123006,1,1,20190409131404817,20190409131404817,20190409131404817,M-41159,tantou66,1,0,000000,555-6666-7777,55566667777,0000000000,1,担当６６,ＭＥＣ,000,null
244619,0001075446,1,1,20180206184557005,20180206184557005,20180206184557005,M-29843,tantou142,1,0,null,1111111111111111,1111111111111111,0000000000,H,担当１４２,ＭＥＣ,Fks,null
244619,0001075446,2,1,20180206184618148,20180206184618148,20180206184618148,M-29843,tantou142,1,0,null,2222222222222222,2222222222222222,0000000000,H,担当１４２,ＭＥＣ,Fks,null
244619,0000081296,1,1,20170621111353342,20170621111353342,20170621111353342,M-29848,tantou66,1,0,000000,012-3456-7890,01234567890,0000000000,1,担当６６,ＭＥＣ,000,null
244619,0001019236,1,1,20230220145220576,20230220145220576,20230220145220576,M-50601,tantou66,1,0,null,01234567890,01234567890,0000000000,1,担当６６,ＭＥＣ,000,null
244619,0007019246,1,1,20190131000000000,20190131000000000,20190131095141320,M-31302,tantou141,1,0,000000,090-0000-0000,09000000000,9000000000,2,CatS_5800一括取込,ＭＥＣ,Cat,null
244619,0007019696,1,1,20190306000000000,20190306000000000,20190306090459354,M-31302,tantou141,1,0,000000,090-0001-0001,09000010001,0000000000,2,CatS_5800一括取込,ＭＥＣ,Cat,null
244619,0001192876,1,1,20161024164032531,20161024164032531,20161024164032531,M-31332,tantou37,1,0,null,11111111111,11111111111,0000000000,1,担当３７,ＭＥＣ,000,null
244619,0070100816,1,1,20090328195258967,20090328195258967,20090328195258967,tousho,demo,1,0,000000,059-****-****,059********,0000000000,A,tousho,null,null,null
244619,0070100866,1,1,20090328195258967,20090328195258967,20090328195258967,tousho,demo,1,0,000000,059-****-****,059********,0000000000,A,tousho,null,null,null
244619,0070105206,1,1,20090328195258967,20090328195258967,20090328195258967,tousho,demo,1,0,000000,059-****-****,059********,0000000000,A,tousho,null,null,null
