JICHTICD,KOJINNO,DNWNOID,RIREKINO,SHKTURKGYUMNCHJ,KUSNGYUMNCHJ,KUSNSYSTEMNCHJ,KUSNCOMPMI,KUSNUSERID,YUKOFLAG,KSSIJOUTI,KYUJCHTICD,DNWNO,HNSHUDNWNO,KUKISHZKID,DNWNOKBN,USERMI,SHZKMI,GYUMID,BKU_60
244619,0001031325,3,1,20160831140401674,20160831140401674,20160831140401674,M-31213,tantou25,1,0,null,213,213,0000000000,1,担当２５,ＭＥＣ,000,null
244619,0000145305,2,1,20160523092345277,20160523092345277,20160523092345277,M-31208,tantou26,1,0,000000,010-234-567-890,010234567890,0000000000,2,担当２６,ＭＥＣ,000,<テスト開始>ダダ""ダシ"'ダカ",ダ改"
ダT" シダ'"カダ,"改ダ
"Tダ "ダダダ"""<テスト終了>
244619,0001198955,1,1,20161025133504174,20161025133504174,20161025133504174,M-31280,tantou145,1,0,null,0592462253,0592462253,0000000000,1,担当１４５,ＭＥＣ,000,null
244619,0007019955,1,1,20190306000000000,20190306000000000,20190306203925042,M-31302,tantou141,1,0,000000,090-0000-0000,09000000000,0000000000,2,CatS_5800一括取込,ＭＥＣ,Cat,null
244619,0008003475,1,1,20190308000000000,20190308000000000,20190308083514638,M-31302,tantou141,1,0,000000,090-0000-0000,09000000000,0000000000,2,CatS_5800一括取込,ＭＥＣ,Cat,null
244619,0000075645,2,1,20170622171258060,20170622171258060,20170622171258060,M-29848,tantou66,1,0,000000,012-3456-7890,01234567890,0000000000,1,担当６６,ＭＥＣ,000,null
244619,0000000005,1,1,20180622154404829,20180622154404829,20180622154404829,M-31236,tantou62,1,0,000000,0598-00-0005,0598000005,0000000000,1,担当６２,ＭＥＣ,000,null
244619,0001021095,2,1,20200603144800767,20200603145240339,20200603145240339,M-29854,kkubo,0,0,null,2020-0603-1449,202006031449,0000000000,2,久保　和之,国民年金係,000,null
244619,0007020325,1,1,20190307000000000,20190307000000000,20190307164851627,M-31302,tantou141,1,0,000000,0598-000-000,0598000000,0000000000,1,CatS_5810一括取込,ＭＥＣ,Cat,null
244619,0001178385,1,1,20150501172155769,20150501172155769,20150501172155769,M-29841,tantou73,1,0,null,1234567890,1234567890,0000000000,1,担当７３,ＭＥＣ,Yss,null
244619,0001021095,1,1,20200603144727192,20200603145236884,20200603145236884,M-29854,kkubo,0,0,null,2020-0603-1447,202006031447,0000000000,2,久保　和之,国民年金係,000,null
244619,0001125605,1,1,20161024203122454,20161024203122454,20161024203122454,M-31332,tantou37,1,0,null,11111111111,11111111111,0000000000,1,担当３７,ＭＥＣ,000,null
244619,0000256225,1,1,20170113162247408,20170113162247408,20170113162247408,M-31332,tantou37,1,0,000000,1111111111111111,1111111111111111,0000000000,2,担当３７,ＭＥＣ,000,null
244619,0007020295,1,1,20190307000000000,20190307000000000,20190307141011705,M-31302,tantou141,1,0,000000,0598-000-000,0598000000,0000000000,1,CatS_5810一括取込,ＭＥＣ,Cat,null
244619,0001089005,2,1,20150813111515619,20150813111515619,20150813111515619,M-31213,tantou25,1,0,null,123-1234-1234,12312341234,0000000000,1,担当２５,ＭＥＣ,Fjf,null
244619,0000001585,1,1,20151201214341922,20151201214939723,20151201214939723,IE11WIN7,tantou51,0,0,000000,9999999998888888,9999999998888888,0000000000,1,担当５１,ＭＥＣ,000,null
244619,0001053655,1,1,20180205113606455,20180205113606455,20180205113606455,M-31280,tantou145,1,0,null,0598668844,0598668844,0000000000,4,担当１４５,ＭＥＣ,000,null
244619,0070100905,1,1,20090328195258967,20090328195258967,20090328195258967,tousho,demo,1,0,000000,059-****-****,059********,0000000000,A,tousho,null,null,null
244619,0070105175,1,1,20090328195258967,20090328195258967,20090328195258967,tousho,demo,1,0,000000,059-****-****,059********,0000000000,A,tousho,null,null,null
244619,0001021575,1,1,20110221110656796,20110221110656796,20110221110656796,M-29390,demo,1,0,null,0598-99-****,059899****,0000000000,1,こども課Ａ（児扶手）,こども係１,Fjf,null
